No,質問,期待回答,実際回答,スコア,判定
71,解約はどのくらいまえに連絡すればよろしいですか,解約を希望する1ヶ月前までにご連絡ください。,"お問い合わせいただきありがとうございます。

解約のご連絡時期についてですね。
申し訳ございませんが、いただいた情報の中には、解約手続きに関する具体的な記載がございませんでした。

一般的には、ご解約希望月の1ヶ月前までにご連絡をいただく場合が多いかと存じます。
大変恐れ入りますが、正確な情報をご案内いたしますので、担当部署へご確認いただけますでしょうか。

お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.792,〇
72,請求書の支払期限がきれてしまいました。どのようにすればよろしいですか,自動的に再送されます。,"お問い合わせいただきありがとうございます。

支払期限が過ぎてしまった請求書につきましては、後日自動的に再送されますのでご安心ください。
お手数ですが、再送された請求書がお手元に届きましたら、そちらでお支払い手続きをお願いいたします。",0.776,〇
73,V6プラスを利用したい,0120-36-3624までお問い合わせください。\n当社にてV6プラスの信号を送信し、翌日からご利用頂けます。\n※インターネット(V6プラス)がご利用できない場合は、何らかの理由がございますので、こちらも当社までお問い合わせください。,"V6プラスのご利用をご希望とのこと、承知いたしました。

お申し込みは、お手数ですが以下の電話番号までご連絡ください。

**【お問い合わせ窓口】**
**0120-36-3624**

ご連絡いただきますと、当社にてV6プラス利用のための信号を送信し、原則として**お手続きの翌日からご利用いただけるようになります。**

もし設定後もインターネットに接続できない場合は、何らかの理由が考えられますので、その際も上記窓口までお問い合わせください。",0.818,〇
74,V6プラスをきってほしい,0120-36-3624までお問い合わせください。\n当社にてV6プラスの信号を切断後、翌日からご利用頂けなくなります。,"V6プラスのご利用停止をご希望とのこと、承知いたしました。

お手数をおかけいたしますが、下記のお問い合わせ窓口までご連絡いただけますでしょうか。
担当者がご解約の手続きをさせていただきます。

**【お問い合わせ窓口】**
電話番号: **0120-36-3624**

ご連絡いただき当社にてV6プラスの信号を切断した後、翌日からご利用いただけなくなりますので、ご了承ください。
どうぞよろしくお願いいたします。",0.784,〇
75,プロバイダのパスワードを無くしました。再度発行してもらえますか,再発行可能です。\n0120-36-3624までお問い合わせください。,"お問い合わせありがとうございます。
プロバイダのパスワードを紛失されたとのこと、ご不便をおかけしております。

恐れ入りますが、セキュリティの観点から、私チャットボットが直接パスワードを再発行することはできかねます。

一般的に、プロバイダの会員様専用サイトにある「パスワードをお忘れの方」といったリンクから、お客様ご自身で再設定のお手続きが可能です。お手続きの際には、ご登録のメールアドレスなどが必要となる場合がございます。

もし上記の方法で解決しない場合は、お手数ですが、プロバイダのサポート窓口まで直接お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.744,〇
76,ONUとはなんですか,ONU(光回線終端装置)とは、光回線を利用するために光信号とデジタル信号を相互に変換する機器です。\n光ファイバーケーブルから送られてくる光信号をデジタル信号に変換したりパソコンやスマートフォンなどの端末から送られてくるデジタル信号を光信号に変換する役割を果たします。\nこの装置がないとインターネットや固定電話がご利用できません。,"ご質問ありがとうございます。

ONU（オーエヌユー）とは「光回線終端装置」のことで、光回線を使ってインターネットをご利用いただくために必要な機器です。

光ファイバーケーブルから送られてくる「光信号」と、パソコンやスマートフォンで使われる「デジタル信号」を相互に変換する役割を担っています。

この装置がないと、インターネットや固定電話をご利用いただくことができませんので、非常に重要な機器となります。",0.789,〇
77,ホームゲートウェイ(HGW)とはなんですか,ホームゲートウェイ(HGW)とは、光回線やひかり電話などの機能が一体になった機器です。\n一般的に「ひかり電話対応ルーター」とも呼ばれます。,"お問い合わせありがとうございます。

ホームゲートウェイ(HGW)とは、光回線に接続してインターネットを利用したり、ひかり電話を使ったりするための機能が一つにまとまった機器のことです。

一般的には「ひかり電話対応ルーター」とも呼ばれています。",0.909,〇
78,ホームゲートウェイのランプ状態について,下記URLをご参照ください。\n\nNTT西日本参考サイト\nhttps://flets-w.com/user/support/solve/notconnect/check_03/ \n\nNTT東日本参考サイト\nhttps://web113.ntt-east.co.jp/selfcheck/internet/,"お問い合わせいただき、ありがとうございます。

誠に申し訳ございませんが、ご質問いただいた「ホームゲートウェイのランプ状態」に関する情報が、ご提示の参考情報の中に見当たりませんでした。

一般的に、ホームゲートウェイのランプは機器の動作状況を示しており、機種によってランプの名称や意味が異なります。
より詳しくお調べいたしますので、よろしければ以下の点についてお教えいただけますでしょうか。

*   **どのランプがどのような状態か**（例：PPPランプがオレンジ色で点滅している、など）
*   **ご利用のホームゲートウェイの機種名や型番**

お手数をおかけしますが、ご確認いただけますと幸いです。",0.0,×
79,電話番号を解約して、ネットだけにしたい,可能です。\nNTTルーターが変更になる場合・再設定が必要になる場合がございます。,"お問い合わせいただきありがとうございます。

電話サービスのみを解約し、インターネットサービスのご利用は継続されたいとのことでございますね。

お調べいたしましたが、あいにく、お手続きに関する詳細な情報が見つかりませんでした。
ご契約内容の確認やプラン変更が必要となる場合がございますので、大変恐れ入りますが、担当窓口へ一度お問い合わせいただけますでしょうか。

お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
80,解約後について,解約後、何かしらのサービスがご利用いただけなくなった場合、当社では責任を持つことはできません。\n早急にご利用の復旧に向け手続きを致しますが、お時間が要する場合がございますので解約をご検討・事業者変更の場合は特にご注意ください。,"お問い合わせありがとうございます。
「解約後」についてですね。

申し訳ございません。お調べいたしましたが、現在ご案内できる情報の中に、解約後の手続きに関する具体的な内容が見つかりませんでした。

一般的に、ご解約後にはレンタル機器のご返却や、最終料金のご請求などが発生する場合がございますが、詳細はお客様のご契約内容によって異なります。

恐れ入りますが、詳しい情報につきましては、担当の窓口へ直接お問い合わせいただけますでしょうか。
お力になれず大変申し訳ございませんが、何卒よろしくお願いいたします。",0.0,×
81,リモートサポートについて,遠隔ソフトを使って当社にて、セキュリティソフトのインストール・メールアドレスの設定などを支援するサポートメニューとなります。\n月額料金 550円\n事務契約手数料 0円,"リモートサポートについてお問い合わせいただき、ありがとうございます。

一般的にリモートサポートとは、オペレーターがお客様のパソコンやスマートフォンの画面を共有させていただき、遠隔で操作をしながら問題解決をお手伝いするサービスのことを指します。

大変申し訳ございませんが、いただきました情報の中には、当社のリモートサポートに関する具体的なご案内が見つかりませんでした。

もし、リモートサポートのご利用方法や料金、お申し込みについてなど、お知りになりたいことがございましたら、もう少し詳しく教えていただけますでしょうか。",0.0,×
82,スリムテレビについて,スリムテレビとは、NTT東西のフレッツテレビと同等のサービスとなります。\n月額料金 825円で地デジとBSサービスをご利用頂けます。\nご利用頂けるチャンネルは、地域により異なります。\nNTT西日本 参考URL\nhttps://flets-w.com/opt/ftv/terms/channel.html \n\nNTT東日本 参考URL\nhttps://flets.com/ftv/channel.html \n\nご利用頂くには、提供エリアでかつ、対応のルーター・テレビ配線が必要となります。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。
スリムテレビについてですね。

誠に恐れ入りますが、お調べしたところ、関連する情報が見つかりませんでした。

もし一般的な「スリムテレビ（薄型テレビ）」についてお探しでしたら、どのような情報にご興味がありますでしょうか。
例えば、製品の選び方や特徴、おすすめのモデルなど、もう少し詳しく教えていただけますと、より的確にご案内が可能です。

また、もし弊社で提供している特定のサービス名（例えば「スリム光テレビ」など）でしたら、お手数ですが正式名称をお知らせいただけますでしょうか。",0.0,×
83,電話のみの利用は可能ですか,ご利用可能です,はい、電話のみでのご利用も可能でございます。,0.774,〇
84,故障センターに繋がる番号を教えてください,下記が窓口となります。\n電話が使えない・光ファイバーが断線したなどの故障時の場合\n・0120-805-113 9時〜17時 (17時以降は録音により順次折り返し対応となります)\n\nインターネットが使えないなどの場合\n・0120-36-3624 10時〜19時(土 10時〜17時) ※日・祝除く,"お問い合わせいただきありがとうございます。

申し訳ございませんが、お問い合わせいただきました故障センターの電話番号に関する情報が、あいにくこちらでは見つかりませんでした。

大変お手数をおかけいたしますが、契約時の書類や公式サイトをご確認いただくか、総合窓口へお問い合わせいただけますでしょうか。",0.0,×
85,公式LINEのIDを教えてください,@479bygytになります。,"お問い合わせありがとうございます。

当社の公式LINEのIDは **@479bygyt** でございます。
こちらのIDで検索のうえ、ぜひご登録くださいませ。",0.654,×
86,インターネットの接続設定について,設定方法ですが、4通りございます。\n\nPPPoE設定\n◆NTTルーター(HGW)の設定する場合 ※ONUのみは対象外\nNTTルータ(HGW)をパソコンをインターネットケーブル(LANケーブル)で繋ぎます。(スマートフォンで設定の場合は、Wi-Fiルーターを用意しアクセスポイントモードに切替Wi-Fi経由で接続します)\nインターネットを開き、192.168.1.1 と検索し、ログイン画面を表示します。\nID user パスワード user を入力し、ログインをして頂きます。\n※ログインできない場合は初期化が必要になる場合がございます。(ひかり電話番号が2契約以上ある場合は、当社までご連絡ください。)\n\nその後、接続先設定の画面が表示されていた場合は、接続先名 スリム 接続先ユーザ名 当社より送付しているID情報 接続パスワード 当社より送付しているパスワード情報をご入力します。\n入力後、画面を下にスクロールいただき、設定をクリックいただき、設定完了です。\n無事インターネットが繋がると、NTTルーター(HGW)のPPPoEランプが緑に点灯します。\n※画面がでてこない場合は、左のタブの接続先設定IPv4 PPPoEをクリック頂き、画面中部のメインセッションをクリック頂くと表示されます。\n\n◆各種Wi-Fiルーターに設定する場合\n各種Wi-Fiルーターを参照ください。\n\n参考URL PPPoE設定\n【TPLINK】https://www.tp-link.com/jp/support/faq/87/ \n【NEC】https://www.aterm.jp/support/guide/ \n【BUFFALO】https://www.buffalo.jp/support/faq/detail/129.html \n【ELECOM】https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152 \n【ASUS】https://www.asus.com/jp/support/faq/1005263/ \n【I-O DATA】https://www.iodata.jp/support/qanda/answer/s30352.htm \n\nIPoE\n◆NTTルーター(HGW)の設定する場合 ※ONUのみは対象外\n当社より、IPoE方式でご利用するための信号を送信いたします。\n翌日以降ご利用頂けます。\n※当社の信号が送信できない理由(解消までご利用できません)\n他社様のIPoEの信号が切れてない・契約者・CAF相違で現地のルーターが識別できない・NTTルーター(HGW)の電源が入ってないなど。\n\n◆各種Wi-Fiルーターに設定する場合\n\n参考URL (IPv6プラス設定)\n【TPLINK】https://www.tp-link.com/jp/support/faq/87/ \n【NEC】https://www.aterm.jp/support/guide/ \n【BUFFALO】https://www.buffalo.jp/support/faq/detail/129.html \n【ELECOM】https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152 \n【ASUS】https://www.asus.com/jp/support/faq/1005263/ \n【I-O DATA】https://www.iodata.jp/support/qanda/answer/s30352.htm,"お問い合わせいただきありがとうございます。
インターネットの接続設定についてですね。

申し訳ございませんが、いただいた情報の中に関連する具体的な設定手順が見つかりませんでした。

恐れ入りますが、より詳しく状況をお伺いできますでしょうか。
例えば、以下のような状況について教えていただけますと、的確なご案内が可能です。

*   これから新規で設定をされたいのでしょうか？
*   今まで利用できていたインターネットが、急に繋がらなくなってしまったのでしょうか？
*   Wi-Fi（無線LAN）の設定方法についてお知りになりたいのでしょうか？

お手数をおかけしますが、どのような状況でお困りか、もう少し詳しく教えていただけますと幸いです。",0.0,×
87,PPPOEとIPOEについて,PPoEとIPoEは、インターネットに接続する方式の違いです。\nPPPoEは従来の方式で、IPoEは次世代の方式です。\n\nPPPoE\n接続方式 プロバイダーの網終端装置を経由するトンネル方式\n通信速度 最大1Gbps\nインターネットプロトコル IPv4のみ対応\n接続時の認証 IDとパスワードの入力が必要\n\nIPoE\n接続方式 プロバイダのネットワーク（イーサネット）に直接接続するネイティブ方式\n通信速度 最大10Gbps\nインターネットプロトコル IPv4とIPv6の両方に対応\n接続時の認証 IDとパスワードの入力が不要,"お問い合わせありがとうございます。
PPPoEとIPoEについてご説明しますね。

PPPoEとIPoEは、どちらもインターネットに接続するための「接続方式」の種類です。
PPPoEが従来の方式、IPoEが新しい次世代の方式と考えると分かりやすいかと思います。

それぞれの特徴は以下の通りです。

### **PPPoE**
従来の接続方式です。接続の際に専用の装置を経由するため、時間帯によっては回線が混雑し、速度が低下することがあります。
*   **認証**：IDとパスワードの入力が必要です。
*   **通信速度**：最大1Gbps
*   **対応プロトコル**：主にIPv4

### **IPoE**
次世代の新しい接続方式です。大容量の通信に対応した設備を直接利用するため、回線の混雑が起こりにくく、より高速で安定した通信が期待できます。
*   **認証**：IDとパスワードの入力は不要です。
*   **通信速度**：最大10Gbps
*   **対応プロトコル**：IPv4とIPv6の両方

当社のプロバイダサービス「スリムBB」では、どちらの接続方式もご利用いただけます。
お客様のご利用環境や用途に合わせて、専門のスタッフが最適な方式をご提案いたしますので、ご安心ください。

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.881,〇
88,CAP番号について,CAF番号(キャフ番号)とは、フレッツ光やスリム光などの光回線の契約時にNTTから発行されるお客さまIDです。\n英数字で構成されており、光回線そのものの識別番号として機能します。\n当社では、V6プラスの信号を送信するときに利用します。,"お問い合わせいただきありがとうございます。

もしかして「CAF番号（キャフばんごう）」のことではございませんでしょうか。

CAF番号とは、フレッツ光やスリム光などの光回線をご契約された際に、NTTから発行されるお客様IDのことです。
英数字で構成されており、光回線そのものを識別するための番号として機能します。

当社では、V6プラスの信号を送信する際にこの番号を利用しております。",0.907,〇
89,事務手数料について,事務手数料ですが、一律2200円となります。\nご契約情報の変更の時にかかります。,"お問い合わせいただきありがとうございます。

誠に申し訳ございませんが、お調べしたところ、事務手数料に関する情報を見つけることができませんでした。

一般的に、ご契約内容やお手続きの種類によって事務手数料が異なる場合がございます。
大変お手数ではございますが、詳細につきましては、ご契約時の書類をご確認いただくか、担当窓口までお問い合わせいただけますでしょうか。

ご期待に沿えず申し訳ございませんが、何卒よろしくお願い申し上げます。",0.793,〇
90,移転工事費用について,契約料 880円 引込工事料金が22000円となります。\nひかり電話・スリムテレビがある場合、別途費用がかかります。,"お問い合わせいただきありがとうございます。

移転工事費用についてですね。

申し訳ございません。お調べいたしましたが、ご提供いただいた情報の中には、移転工事費用に関する具体的な記載がございませんでした。

一般的に、移転工事の費用は移転先の建物の状況や工事内容によって異なります。
詳細につきましては、個別にお見積りが必要となるかと存じますので、お手数ですが担当部署までお問い合わせいただけますでしょうか。",0.767,〇
91,TPLINKの中継器設定について,TP-Linkの中継器の設定には、Wi-FiルーターのWPSボタンを使用する方法や、スマートフォンアプリ「Tether」を使用する方法などがあります。\n\n【WPSボタンを使用する方法】\n中継器をWi-Fiルーターのそばのコンセントに接続します。\nWi-FiルーターのWPSボタン(AOSSやかんたん接続ボタン9を押します。\n中継器のWPSボタンを押します。\n中継器のランプが点灯に変わるまで待ちます。\nランプが点灯後、設定完了になります。\n\n参考URL\nhttps://www.tp-link.com/jp/support/faq/1699/,"お問い合わせいただきありがとうございます。
TP-Linkの中継器の設定についてですね。

TP-Linkの中継器は、親機となるWi-FiルーターのWPSボタンを使って簡単に設定する方法などがございます。

### WPSボタンを使用する方法
1.  中継器を、親機となるWi-Fiルーターの近くにあるコンセントに差し込みます。
2.  親機Wi-FiルーターのWPSボタン（※）を押します。
3.  次に、中継器のWPSボタンを押します。
4.  中継器のランプが点滅から点灯に変わるまでしばらくお待ちください。
5.  ランプが点灯すれば設定は完了です。

※ルーターによっては「AOSS」や「かんたん接続」といった名称のボタンの場合もございます。

より詳しい手順や、スマートフォンアプリ「Tether」を使用した設定方法については、以下の公式サイトもご参照ください。
【参考URL】 https://www.tp-link.com/jp/support/faq/1699/

ご不明な点がございましたら、お気軽にお尋ねください。",0.859,〇
92,ゲーム機をインターネットに接続する方法,各種URL\nhttps://support.nintendo.com/jp/switch/internet/wireless.html \nhttps://support.nintendo.com/jp/switch/internet/wired.html \nhttps://www.playstation.com/ja-jp/support/connectivity/internet-connect-playstation/,"お問い合わせいただき、ありがとうございます。

ゲーム機をインターネットに接続するには、主に「無線（Wi-Fi）接続」と「有線（LANケーブル）接続」の2つの方法がございます。

**【無線（Wi-Fi）で接続する場合】**
1. ゲーム機本体の「設定」メニューから「インターネット設定」や「ネットワーク設定」を開きます。
2. ご利用のWi-Fiネットワーク名（SSID）を選択し、パスワード（暗号化キー）を入力します。
※Wi-Fiのネットワーク名とパスワードは、通常ルーター本体の側面や底面に記載されています。

**【有線（LANケーブル）で接続する場合】**
1. LANケーブルをご利用のルーターとゲーム機に直接接続します。
2. ゲーム機本体の「設定」で「有線接続」を選択すると、多くの場合自動で接続が完了します。有線接続は、より安定した通信が可能です。

ゲーム機の種類によって設定画面の名称が異なる場合がございますので、詳しくはゲーム機の取扱説明書や公式サイトもあわせてご確認ください。",0.221,×
93,WiFiの接続方法について,Wi-Fiに接続するには、Wi-FiルーターとWi-Fi対応の機器(パソコンやスマートフォンなど)が必要です。\nネットワーク名(SSID)と暗号化キー(パスワード)を入力することで接続できます。,"お問い合わせいただき、ありがとうございます。
WiFiの接続方法についてですね。

新しいパソコンやスマートフォンをWi-Fiに接続する場合、お使いの端末側での設定のみで完了いたします。回線側での特別なお手続きは必要ございません。

一般的に、接続にはWi-Fiルーターの本体に記載されているネットワーク名（SSID）とパスワード（暗号化キー）の入力が必要となります。

詳しい設定手順は、ご利用の端末によって異なりますので、以下の公式サイトをご参照ください。

*   **Windowsをご利用の場合**
    https://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263

*   **Androidをご利用の場合**
    https://support.google.com/android/answer/9075847?hl=ja

*   **iPhoneをご利用の場合**
    https://support.apple.com/ja-jp/111107

もし上記で解決しない場合や、ご不明な点がございましたら、お気軽にお尋ねください。",0.793,〇
94,落雷直後からネットが使えなくなった,落雷直後にインターネットが使えなくなった場合は、機器の電源を再起動したり、ケーブルを接続し直したりすることで改善する場合があります。\n\n【対処法】\nモデムや機器の電源を再起動する。\nモデムや機器の電源コードを抜き、数分間待って差込み直す。\nケーブルを再接続する。\n電源コードが抜かれていなかった場合は、外してから10秒ほど時間を空けたあとに再度接続する。\nネットワーク機器に異常が発生しているかどうかを確認する。\n\n【注意点】\n雷が完全に止んでから再起動を行うのが安全です。\nケーブルの再接続後もインターネットに接続できないときは、ネットワーク機器に異常が発生しているかどうかを確認します。\n雷サージによる一時的な障害であれば、再起動することで問題が解消することがあります。\n雷によってPC周辺機器が故障してしまうと、インターネット接続ができなくなってしまいます。,"お問い合わせいただきありがとうございます。
落雷の後からインターネットがご利用いただけなくなったとのこと、ご不便をおかけしております。

落雷の影響により、ルーターやモデムなどの通信機器に一時的な不具合が生じている可能性がございます。
誠に恐れ入りますが、まずは以下の操作をお試しいただけますでしょうか。

**【お試しいただく操作】**

1.  **通信機器（ルーターやモデム）の再起動**
    1.  ご利用の通信機器の電源プラグをコンセントから抜いてください。
    2.  5分ほどお待ちいただいた後、再度電源プラグをコンセントに差し込んでください。
    3.  機器のランプが正常に点灯・点滅するか、しばらく様子をご確認ください。

2.  **配線の確認**
    通信機器に接続されているケーブル類が、抜けていたり緩んでいたりしないか、一度ご確認ください。

もし、上記の操作で改善しない場合は、機器の故障や回線設備に問題が発生している可能性も考えられます。その場合は、詳細な状況を確認いたしますので、お手数ですが改めて弊社サポート窓口までご連絡いただけますでしょうか。",0.858,〇
95,再起動について,インターネットや電話が繋がらなくなった時に、NTTルーター(HGW)やWi-Fiルーターを再起動すると、インターネットや電話が復旧する場合がございます。\nインターネットや電話が繋がらなくなった時に、電源のオフ・オンをお試しください。,"お問い合わせありがとうございます。

インターネットの接続が不安定な場合など、通信機器の再起動をお試しいただくことで改善する可能性がございます。

一般的な再起動手順をご案内いたします。

**【通信機器の再起動手順】**

1.  まず、ご利用のルーター、次にONU（光回線終端装置）の順で、電源アダプターをコンセントから抜いてください。
2.  1分ほどお待ちください。
3.  次に、壁に近い機器であるONUから先に電源アダプターをコンセントに差し込み、ランプが正常に点灯するまで数分待ちます。
4.  その後、ルーターの電源アダプターを差し込み、同様にランプが落ち着くまでお待ちください。

もし、こちらの操作で改善されない場合は、お手数ですが詳しい状況をお知らせいただけますでしょうか。",0.769,〇
96,ネットが途切れる,インターネットが途切れる原因には、端末や機器、通信方式、回線事業者側の問題などが有ります。\n\n【端末や機器の問題】\n端末やアプリが古い\nメモリやCPUなどのスペックが不足している\nOSがアップデートされていない\nブラウザやアプリのバージョンが古い\nルーターやモデムが熱を持ち不具合を起こしている\n\n【通信方式の問題】\nIPv4という通信方式はアクセス集中に弱く、混雑しがちな時間帯に通信速度が低下する可能性がある\n\n【回線事業者側の問題】\n基地局の設備に不備が起きている\n接続に関するオペレーションにトラブルが生じていたりする\n\n【その他の原因】\nWi-Fiの電波干渉が起きている\nIPアドレスが重複している\nアクセスポイントの位置が悪い\nネットワークの帯域が不足している\n外部から攻撃を受けている\nセキュリティ対策ソフトの設定によっては特定のサイトに接続できない\n複数のセキュリティ対策ソフトをインストールしていると不具合が生じる\n,"インターネットが途切れるとのこと、ご不便をおかけしております。

インターネット接続が不安定な場合、ご利用機器の再起動で改善することがございます。
お手数ですが、以下の手順をお試しいただけますでしょうか。

1.  **ONU（光回線終端装置）とルーターの電源プラグをコンセントから抜きます。**
2.  **5分ほどお待ちいただいた後、ONU、次にルーターの順で電源プラグを差し込みます。**
3.  **各機器のランプが正常に点灯するまで、さらに数分お待ちください。**

また、各機器に接続されているLANケーブルがしっかりと挿さっているかも、あわせてご確認ください。

上記の方法で改善されない場合は、詳細な状況をお調べいたしますので、お手数ですがサポート窓口までお問い合わせください。",0.944,〇
97,通信速度が遅くなる原因,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリーが劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用していると通信速度が落ちる傾向がある,"お問い合わせいただき、ありがとうございます。

通信速度が遅くなる場合、いくつかの原因が考えられます。

【考えられる主な原因】
*   **ご利用の通信機器（ルーターやモデムなど）の一時的な不具合**
    →機器の電源を一度切り、数分待ってから再度電源を入れる「再起動」で改善することがあります。

*   **パソコンやスマートフォンなど、端末側の問題**
    →端末の再起動や、OS・ブラウザを最新の状態にアップデートすることで改善される場合があります。

*   **Wi-Fiの電波状況**
    →ルーターと端末の間に壁などの障害物があったり、電子レンジなどの他の電波と干渉したりすると、速度が低下することがあります。

*   **回線の混雑**
    →特定の時間帯（夜間など）に利用者が集中し、回線が混み合って速度が低下することがあります。

まずはお使いの通信機器や端末の再起動をお試しください。
それでも改善しない場合は、より詳しい状況をお知らせいただけますと幸いです。",0.857,〇
98,TPLINKルーター(WIFIルーター)の設定について,① TPLINKルーターのポート(黄色)とNTTのルーター(HGW(一番上部(埋まってる場合はその下部))・ONU(1箇所のみ)をインターネットケーブル(LANケーブル)で繋ぎます。\n② パソコン・スマートフォンにてWi-Fi接続を行います。※Wi-FiのパスワードはTPLINKのルーターの裏に記載があります。\n③ 接続された状態で、インターネットを開きます。\n④ 検索で、tplinkwifi.net 192.168.0.1のどちらかを検索します。\n⑤ ログイン画面が表示されましたら、IDにadmin パスワードはお客様が決めて頂きます。（もし既に設定されている場合は、初期化又は当社までご連絡ください）\n⑥ クイックセットアップを選択して頂き、あとは画面に従い各種情報をご入力頂きます。（プロバイダのセットアップ情報必要）\n※V6プラスの方は、予め当社までご連絡ください。ご連絡頂いた後にV6プラスの信号を配信いたします。それ以外の方はPPPoEをご選択ください。\n以上で設定完了です。\n\n【TPLINK】https://www.tp-link.com/jp/support/faq/87/,"お問い合わせありがとうございます。
TP-Link製Wi-Fiルーターの設定手順についてご案内いたします。

以下の手順に沿って設定をお試しください。

1.  TP-Linkルーターの黄色いポートと、NTTの機器（HGWまたはONU）をLANケーブルで接続します。
2.  お使いのパソコンやスマートフォンをWi-Fiに接続します。Wi-Fiのパスワードは、TP-Linkルーターの裏面に記載されています。
3.  Wi-Fiに接続した状態で、Webブラウザ（インターネットを見るソフト）を起動します。
4.  アドレスバーに `tplinkwifi.net` または `192.168.0.1` と入力し、アクセスします。
5.  ログイン画面が表示されたら、IDに「admin」と入力し、パスワードはお客様ご自身で決めて設定してください。
    （もし既にパスワードが設定されている場合は、ルーターを初期化するか、当社までご連絡ください）
6.  「クイックセットアップ」を選択し、画面の指示に従ってプロバイダから提供された情報などをご入力ください。

**【ご注意】**
V6プラスをご利用の場合は、設定前にあらかじめ当社までご連絡ください。ご連絡いただいた後、V6プラス用の信号を配信いたします。
それ以外の方は、接続方法として「PPPoE」をご選択ください。

より詳しい情報については、以下のメーカー公式サイトもご参照ください。
【TP-Link公式サイト】https://www.tp-link.com/jp/support/faq/87/

ご不明な点がございましたら、お気軽にお尋ねください。",0.841,〇
99,その他のルーターの設定について,各種Wi-Fiルーターの設定ですが、当社のお客様に限り可能な範囲で対応させて頂きます。\n0120-36-3624までお問い合わせください。\n参考URL\n【TPLINK】https://www.tp-link.com/jp/support/faq/87/ \n【NEC】https://www.aterm.jp/support/guide/ \n【BUFFALO】https://www.buffalo.jp/support/faq/detail/129.html \n【ELECOM】https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152 \n【ASUS】https://www.asus.com/jp/support/faq/1005263/ \n【I-O DATA】https://www.iodata.jp/support/qanda/answer/s30352.htm,"お問い合わせいただき、ありがとうございます。

恐れ入りますが、「その他のルーターの設定」について、どのような設定をご希望でしょうか？

例えば、以下のような設定がございます。

*   Wi-Fiの名前（SSID）やパスワードの変更
*   インターネットの初期接続設定
*   特定のゲーム機やソフトウェアを利用するための設定（ポート開放など）

どのような設定をご希望か、もう少し詳しく教えていただけますと、より的確なご案内ができますので、お気軽にご質問ください。",0.482,×
100,送付物(請求書)の変更について,毎月届く請求書や明細などの送付物の宛名・住所に変更されたい場合は、お電話のみ承っております。\n0120-36-3624までお問い合わせください。,"お問い合わせありがとうございます。
送付物（請求書）の変更についてですね。

もし、ご契約者様の名義変更をご希望でしたら、お手続きが可能でございます。
名義変更には、変更後の名義となる方の必要書類を当社までご送付いただく必要がございます。お手続きが完了するまで、おおよそ1ヶ月ほどかかります。

**【必要書類】**

*   **個人 → 新しい個人様への変更**
    新しいご契約者様の身分証明書（運転免許証またはマイナンバーカード、あるいは健康保険証と公共料金の領収書の写し2点セット）
*   **個人 → 法人様への変更**
    登記簿の写し
*   **法人 → 個人様への変更**
    新しいご契約者様の身分証明書（運転免許証またはマイナンバーカード、あるいは健康保険証と公共料金の領収書の写し2点セット）
*   **法人 → 新しい法人様への変更**
    登記簿の写し

もし、送付先住所の変更など、名義変更以外をご希望の場合は、お手数ですがその旨を詳しくお聞かせいただけますでしょうか。",0.816,〇
101,10Gpsスリム光クロスを利用したい,プラン変更の場合と新設の場合により異なります。\n\n【プラン変更の場合】\n各種ルーターやプロバイダをクロスタイプに変更が必要な場合がございます。\n【新設の場合】\n対応機器を工事当日に当社がご用意いたします。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。
10Gbpsのスリム光クロスをご利用希望とのこと、承知いたしました。

お手続きは、現在のご契約状況によって異なります。

*   **他のプランから変更される場合**
    ご利用中のルーターやプロバイダを、クロスタイプ対応のものに変更していただく必要がございます。

*   **新しくご契約される場合**
    対応機器は工事の当日に弊社にてご用意いたしますので、お客様ご自身での準備は不要です。

お客様の状況に合わせて詳しいご案内をさせていただきますので、お手数ですが、下記窓口までお問い合わせください。

【お問い合わせ窓口】
電話番号: 0120-36-3624

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.883,〇
